,fCHL μgL WS HR mean,fCHL μgL EXO HR mean,fCHL μgL EXO HR median,NO3 uM SUNA HR mean,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
165,14.96719529,8.619693068,8.520511936,1.761617134,A3563,San Joaquin River,38.019855,-121.80935, , ,,,,Western Delta Tidal Zone
166,14.35837374,8.773742244,8.805528134,1.803972527,A3564,San Joaquin River,38.020367,-121.811268, , ,,,,Western Delta Tidal Zone
167,15.21273319,8.296249974,8.300424523,1.818940448,A3565,San Joaquin River,38.020222,-121.813222, , ,,,,Western Delta Tidal Zone
168,15.40142298,9.32650235,9.14927694,1.753012781,A3566,San Joaquin River,38.020554,-121.815167, , ,,,,Western Delta Tidal Zone
169,15.69799337,10.22308909,10.24135162,1.716631846,A3567,San Joaquin River,38.02118,-121.816987, , ,,,,Western Delta Tidal Zone
170,15.61039651,9.723722915,9.886942838,1.736027182,A3568,San Joaquin River,38.022132,-121.818616, , ,,,,Western Delta Tidal Zone
171,15.53708306,8.774294874,8.767350113,1.69872975,A3569,San Joaquin River,38.023099,-121.820049, , ,,,,Western Delta Tidal Zone
172,15.56093048,8.739064253,8.897007998,1.595931115,A3570,San Joaquin River,38.024094,-121.821463, , ,,,,Western Delta Tidal Zone
173,15.80565238,9.146570973,9.333113004,1.64914525,A3571,San Joaquin River,38.024891,-121.822946, , ,,,,Western Delta Tidal Zone
174,15.7094665,9.57579181,9.580127279,1.810756269,A3572,San Joaquin River,38.025999,-121.824295, , ,,,,Western Delta Tidal Zone
175,15.79596218,8.999079207,8.829445699,1.934040808,A3573,San Joaquin River,38.027335,-121.825639, , ,,,,Western Delta Tidal Zone
176,16.05257131,8.88768004,8.924532181,2.22176625,A3574,San Joaquin River,38.027811,-121.827434, , ,,,,Western Delta Tidal Zone
177,16.1287334,10.67335891,10.56724102,2.211246462,A3575,San Joaquin River,38.028796,-121.828799, , ,,,,Western Delta Tidal Zone
178,18.55050134,10.88668252,11.29193291,10.30660737,A3576,San Joaquin River,38.094606,-121.579508, , ,,,,Central Delta Tidal Zone
