CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A3017	38.198043	-121.546193	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.68	17.40	23.03	138.97	7.61	7.73	90.14	2.29	1.24	14.03	1.96	16.05	23.08	133.66	0.07	0.50	0.67	0.96	0.00	2.14	23.38	23.21	44.94	0.00	23.08	1.88
A586	38.199258	-121.558874	North Delta tidal transition zone	Sacramento River	7/1/2020	5.05	16.67	23.35	137.53	7.67	7.91	92.85	4.37	2.13	14.06	3.30	15.24	23.42	132.85	0.07	1.59	0.78	1.52	0.00	3.87	41.00	20.04	39.19	0.00	21.64	1.89
A3015	38.200385	-121.544153	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.59	17.45	23.02	138.78	7.61	7.73	90.15	2.30	1.24	14.10	1.98	16.06	23.06	133.41	0.07	0.51	0.68	0.95	0.00	2.15	23.88	27.92	44.35	0.00	23.04	1.86
A3013	38.201655	-121.540846	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.50	17.49	23.03	138.70	7.61	7.73	90.15	2.30	1.24	14.14	2.00	16.04	23.07	133.36	0.07	0.52	0.68	0.95	0.00	2.15	23.96	28.31	44.38	0.00	22.99	1.86
A584	38.202038	-121.557801	North Delta tidal transition zone	Sacramento River	7/1/2020	5.16	16.38	23.37	137.72	7.67	7.91	92.86	4.30	2.11	14.11	3.35	15.31	23.44	133.22	0.07	1.59	0.77	1.51	0.00	3.87	41.07	19.97	39.06	0.00	21.25	1.88
A3011	38.204247	-121.540640	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.42	17.61	23.03	138.47	7.61	7.74	90.29	2.32	1.24	14.14	2.01	16.06	23.07	133.19	0.07	0.55	0.67	0.96	0.00	2.18	25.30	28.06	43.66	0.00	23.03	1.83
A582	38.204908	-121.557668	North Delta tidal transition zone	Sacramento River	7/1/2020	5.15	16.23	23.37	137.76	7.67	7.91	92.88	4.28	2.12	14.13	3.37	15.34	23.44	133.37	0.07	1.61	0.77	1.52	0.00	3.89	41.29	19.73	38.99	0.00	21.05	1.88
A3009	38.207114	-121.541210	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.39	17.67	23.03	138.30	7.61	7.75	90.38	2.34	1.23	14.11	2.01	16.06	23.08	133.07	0.07	0.56	0.67	0.95	0.00	2.18	25.66	27.57	43.41	0.00	23.07	1.82
A580	38.207817	-121.557605	North Delta tidal transition zone	Sacramento River	7/1/2020	5.11	15.92	23.37	137.76	7.67	7.91	92.89	4.31	2.11	14.19	3.37	15.40	23.45	133.51	0.07	1.60	0.77	1.52	0.00	3.89	41.18	19.73	39.10	0.00	20.63	1.86
A3007	38.209759	-121.539941	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.22	17.53	23.05	137.68	7.62	7.79	90.79	2.32	1.23	13.92	1.99	16.00	23.09	132.63	0.07	0.56	0.67	0.93	0.00	2.16	26.16	26.79	37.44	0.00	22.75	1.80
A3005	38.210796	-121.536318	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.17	17.45	23.06	137.56	7.62	7.80	90.93	2.29	1.25	13.89	2.01	15.96	23.10	132.58	0.07	0.58	0.66	0.93	0.00	2.17	26.88	20.29	28.36	0.00	22.62	1.80
A578	38.210704	-121.557650	North Delta tidal transition zone	Sacramento River	7/1/2020	5.04	15.77	23.37	137.73	7.67	7.91	92.88	4.37	2.09	14.22	3.34	15.43	23.44	133.49	0.07	1.57	0.77	1.52	0.00	3.85	40.68	19.95	39.38	0.00	20.42	1.86
A3003	38.213076	-121.537264	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.05	17.28	23.05	137.29	7.63	7.82	91.14	2.29	1.25	13.76	1.99	15.94	23.10	132.28	0.07	0.58	0.66	0.93	0.00	2.17	26.70	17.93	24.86	0.00	22.32	1.79
A576	38.213606	-121.557744	North Delta tidal transition zone	Sacramento River	7/1/2020	4.99	15.62	23.36	137.69	7.67	7.91	92.87	4.44	2.08	14.24	3.31	15.46	23.42	133.38	0.07	1.51	0.77	1.51	0.00	3.79	39.93	20.24	39.86	0.00	20.21	1.85
A3001	38.215158	-121.539689	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.89	17.12	23.04	137.08	7.63	7.83	91.29	2.31	1.23	13.61	1.95	15.93	23.08	131.99	0.07	0.56	0.66	0.93	0.00	2.16	25.77	24.78	34.78	0.00	22.02	1.79
A574	38.216513	-121.557650	North Delta tidal transition zone	Sacramento River	7/1/2020	4.81	15.35	23.32	137.54	7.67	7.92	92.92	4.52	2.06	14.26	3.29	15.50	23.39	132.93	0.07	1.44	0.76	1.50	0.00	3.69	38.93	20.53	40.70	0.00	19.82	1.84
A2999	38.216889	-121.542559	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.72	17.02	23.02	136.83	7.63	7.83	91.29	2.37	1.25	13.29	1.92	15.92	23.06	131.60	0.07	0.53	0.66	0.96	0.00	2.15	24.79	31.43	45.37	0.00	21.81	1.80
A572	38.219378	-121.557306	North Delta tidal transition zone	Sacramento River	7/1/2020	4.69	15.22	23.30	137.38	7.67	7.93	92.99	4.57	2.06	14.26	3.30	15.51	23.37	132.61	0.07	1.40	0.75	1.50	0.00	3.65	38.46	20.64	41.05	0.00	19.64	1.83
A2997	38.219626	-121.543372	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.57	16.83	23.02	136.59	7.63	7.86	91.71	2.38	1.28	13.03	1.93	15.89	23.06	131.34	0.07	0.54	0.66	0.96	0.00	2.16	25.12	30.59	44.48	0.00	21.43	1.80
A570	38.222221	-121.556607	North Delta tidal transition zone	Sacramento River	7/1/2020	4.37	15.01	23.27	136.93	7.67	7.96	93.31	4.61	2.08	14.19	3.26	15.54	23.33	131.99	0.07	1.34	0.75	1.49	0.00	3.57	37.49	21.13	41.59	0.00	19.26	1.81
A2995	38.222419	-121.543905	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.39	16.61	23.04	136.31	7.64	7.93	92.59	2.40	1.35	12.64	1.91	15.85	23.07	131.12	0.07	0.52	0.66	0.94	0.00	2.11	24.40	31.40	44.25	0.00	20.97	1.80
A2993	38.223316	-121.540685	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.34	16.60	23.03	136.29	7.64	7.94	92.64	2.38	1.32	12.83	1.89	15.83	23.07	131.12	0.07	0.51	0.66	0.92	0.00	2.09	24.37	31.03	43.11	0.00	20.92	1.80
A2991	38.223913	-121.537126	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.34	16.68	23.01	136.31	7.64	7.95	92.72	2.39	1.33	13.07	1.92	15.86	23.05	131.07	0.07	0.53	0.67	0.93	0.00	2.13	24.76	30.47	42.21	0.00	21.03	1.80
A568	38.225095	-121.556230	North Delta tidal transition zone	Sacramento River	7/1/2020	4.23	14.93	23.26	136.77	7.67	7.98	93.52	4.62	2.09	14.19	3.21	15.57	23.32	131.83	0.07	1.31	0.76	1.48	0.00	3.54	36.94	21.38	41.83	0.00	19.11	1.81
A2989	38.225236	-121.533995	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.44	16.97	23.02	136.58	7.63	7.94	92.54	2.38	1.30	13.34	1.94	15.87	23.05	131.29	0.07	0.56	0.67	0.95	0.00	2.18	25.61	29.31	40.58	0.00	21.45	1.81
A2985	38.226449	-121.528329	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.57	17.54	23.05	137.34	7.63	7.88	91.93	2.38	1.23	13.77	1.97	15.90	23.07	131.83	0.07	0.57	0.67	0.95	0.00	2.19	26.16	28.19	42.49	0.00	22.19	1.82
A2987	38.227356	-121.531588	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.50	17.30	23.02	136.99	7.63	7.90	92.21	2.39	1.26	13.56	1.96	15.89	23.05	131.55	0.07	0.57	0.67	0.95	0.00	2.19	25.94	29.76	42.65	0.00	21.87	1.81
A2983	38.227898	-121.526208	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.69	18.14	23.09	137.96	7.63	7.83	91.46	2.37	1.22	13.99	2.00	15.89	23.12	132.55	0.07	0.62	0.66	0.99	0.00	2.25	27.45	24.39	43.57	0.00	22.93	1.82
A566	38.228014	-121.556151	North Delta tidal transition zone	Sacramento River	7/1/2020	4.13	14.82	23.25	136.77	7.68	8.02	93.93	4.64	2.07	14.29	3.10	15.66	23.31	131.94	0.07	1.26	0.76	1.46	0.00	3.48	36.19	21.64	42.09	0.01	18.96	1.79
A2981	38.229898	-121.523581	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.64	18.36	23.08	137.89	7.63	7.84	91.61	2.39	1.23	13.95	2.01	15.89	23.13	132.69	0.07	0.63	0.66	1.01	0.00	2.29	27.65	24.80	44.06	0.00	23.08	1.81
A564	38.230793	-121.557016	North Delta tidal transition zone	Sacramento River	7/1/2020	4.09	14.82	23.26	136.96	7.68	8.03	94.06	4.69	2.03	14.36	3.07	15.72	23.32	132.15	0.07	1.24	0.76	1.46	0.00	3.46	35.90	21.94	42.13	0.01	18.91	1.79
A2979	38.232150	-121.521292	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.53	18.44	23.07	137.62	7.63	7.88	92.04	2.44	1.27	13.84	2.05	15.90	23.11	132.51	0.07	0.64	0.66	1.03	0.00	2.32	27.45	27.47	44.44	0.03	22.99	1.80
A562	38.233413	-121.558472	North Delta tidal transition zone	Sacramento River	7/1/2020	4.04	14.86	23.26	137.25	7.68	8.04	94.18	4.78	1.99	14.43	3.07	15.80	23.32	132.46	0.07	1.23	0.77	1.46	0.00	3.45	35.62	22.20	42.27	0.00	18.90	1.79
A2977	38.234381	-121.518960	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.39	18.28	23.09	137.34	7.64	7.93	92.61	2.46	1.35	13.62	2.15	15.80	23.11	132.23	0.07	0.66	0.66	1.08	0.01	2.40	27.52	27.35	45.06	0.29	22.67	1.78
A560	38.236256	-121.558848	North Delta tidal transition zone	Sacramento River	7/1/2020	3.98	15.09	23.25	137.72	7.68	8.06	94.38	4.80	2.02	14.48	3.12	15.95	23.31	132.96	0.07	1.22	0.76	1.50	0.00	3.48	35.04	21.61	43.15	0.01	19.07	1.78
A2975	38.236929	-121.517362	North Delta tidal transition zone	Georgiana Slough	7/1/2020	4.16	17.54	23.11	136.83	7.65	7.99	93.33	2.46	1.43	13.36	2.24	15.62	23.12	131.69	0.07	0.69	0.65	1.14	0.02	2.49	27.48	26.33	45.76	0.63	21.70	1.76
A541	38.238463	-121.528070	North Delta tidal transition zone	Sacramento River	7/1/2020	4.27	17.86	23.17	137.51	7.64	7.95	92.98	2.70	1.49	13.65	2.36	15.62	23.19	132.49	0.07	0.73	0.64	1.22	0.05	2.63	27.26	21.21	46.46	1.80	22.14	1.77
A544	38.238563	-121.533539	North Delta tidal transition zone	Sacramento River	7/1/2020	4.04	17.23	23.17	137.84	7.65	7.99	93.45	3.16	1.58	13.89	2.54	15.70	23.21	132.78	0.07	0.81	0.66	1.29	0.05	2.80	27.98	17.46	46.13	1.72	21.27	1.74
A558	38.238776	-121.557102	North Delta tidal transition zone	Sacramento River	7/1/2020	3.93	15.30	23.23	138.06	7.68	8.07	94.47	4.61	2.03	14.51	3.14	16.03	23.29	133.22	0.07	1.19	0.74	1.53	0.00	3.46	34.26	20.58	44.12	0.06	19.24	1.77
A539	38.239138	-121.524496	North Delta tidal transition zone	Sacramento River	7/1/2020	4.30	17.93	23.17	137.37	7.64	7.95	92.94	2.62	1.49	13.57	2.33	15.60	23.19	132.37	0.07	0.72	0.64	1.21	0.05	2.61	27.18	22.30	46.55	1.84	22.24	1.77
A546	38.239315	-121.537104	North Delta tidal transition zone	Sacramento River	7/1/2020	3.97	16.84	23.19	137.95	7.66	8.00	93.65	3.40	1.63	14.03	2.62	15.74	23.24	132.92	0.07	0.86	0.67	1.33	0.04	2.89	28.59	16.65	45.89	1.51	20.81	1.74
A537	38.239511	-121.520882	North Delta tidal transition zone	Sacramento River	7/1/2020	4.25	17.80	23.19	137.01	7.65	7.97	93.20	2.52	1.51	13.34	2.35	15.51	23.19	132.03	0.07	0.72	0.63	1.22	0.05	2.62	27.40	23.68	46.64	1.93	22.05	1.77
A535	38.239750	-121.517497	North Delta tidal transition zone	Sacramento River	7/1/2020	3.84	16.32	23.15	136.11	7.67	8.06	94.27	2.49	1.46	12.98	2.27	15.38	23.17	131.09	0.07	0.68	0.64	1.18	0.03	2.54	26.90	25.45	46.35	1.23	20.15	1.75
A548	38.240144	-121.540620	North Delta tidal transition zone	Sacramento River	7/1/2020	3.90	16.48	23.20	138.13	7.66	8.02	93.86	3.66	1.67	14.20	2.70	15.83	23.25	133.10	0.07	0.90	0.69	1.36	0.03	2.97	29.12	16.66	45.53	1.16	20.39	1.73
A550	38.240936	-121.544154	North Delta tidal transition zone	Sacramento River	7/1/2020	3.90	16.29	23.20	138.17	7.66	8.03	93.96	3.79	1.70	14.27	2.75	15.87	23.26	133.16	0.07	0.93	0.69	1.38	0.03	3.03	29.68	16.82	45.39	0.98	20.19	1.74
A556	38.240981	-121.554860	North Delta tidal transition zone	Sacramento River	7/1/2020	3.88	15.51	23.21	138.33	7.67	8.07	94.46	4.43	2.00	14.53	3.11	16.08	23.27	133.41	0.07	1.15	0.73	1.52	0.00	3.41	33.35	19.50	44.80	0.14	19.40	1.76
A552	38.241506	-121.547750	North Delta tidal transition zone	Sacramento River	7/1/2020	3.89	15.93	23.20	138.23	7.67	8.04	94.14	4.04	1.79	14.39	2.87	15.94	23.26	133.24	0.07	1.01	0.71	1.42	0.02	3.16	30.97	17.50	45.14	0.63	19.83	1.74
A554	38.241844	-121.551401	North Delta tidal transition zone	Sacramento River	7/1/2020	3.86	15.80	23.20	138.43	7.67	8.06	94.30	4.20	1.87	14.51	2.97	16.05	23.26	133.44	0.07	1.06	0.72	1.47	0.01	3.25	31.74	18.16	45.08	0.36	19.67	1.74
A533	38.241589	-121.515585	North Delta tidal transition zone	Sacramento River	7/1/2020	3.72	15.69	23.12	135.80	7.67	8.10	94.69	2.46	1.39	12.98	2.16	15.42	23.14	130.75	0.07	0.64	0.66	1.11	0.01	2.42	26.42	27.40	45.84	0.42	19.41	1.74
A531	38.243877	-121.513316	North Delta tidal transition zone	Sacramento River	7/1/2020	3.53	14.81	23.09	135.42	7.69	8.20	95.80	2.41	1.31	13.08	1.95	15.56	23.12	130.39	0.07	0.54	0.67	0.97	0.00	2.18	24.97	30.80	44.54	0.00	18.33	1.73
A526	38.250720	-121.511157	North Delta tidal transition zone	Sacramento River	7/1/2020	3.37	15.80	22.98	136.27	7.68	8.18	95.28	2.48	1.42	13.61	2.02	15.97	23.02	130.79	0.07	0.51	0.68	1.00	0.00	2.19	23.52	31.46	45.71	0.00	19.17	1.72
A524	38.253395	-121.512634	North Delta tidal transition zone	Sacramento River	7/1/2020	3.27	17.27	22.95	137.45	7.66	8.11	94.43	2.69	1.41	13.91	2.09	16.31	22.99	131.78	0.07	0.50	0.68	1.04	0.00	2.22	22.73	31.25	46.76	0.04	20.54	1.72
A522	38.255690	-121.514816	North Delta tidal transition zone	Sacramento River	7/1/2020	3.21	18.65	22.95	138.67	7.65	8.06	93.86	2.87	1.44	14.14	2.12	16.63	22.98	132.96	0.07	0.49	0.68	1.06	0.00	2.22	21.80	28.34	47.56	0.07	21.87	1.72
A520	38.257716	-121.517442	North Delta tidal transition zone	Sacramento River	7/1/2020	3.20	19.41	22.95	139.49	7.64	8.05	93.75	2.97	1.49	14.25	2.16	16.84	22.99	133.83	0.07	0.47	0.68	1.08	0.00	2.23	20.96	26.36	48.34	0.07	22.61	1.71
A518	38.259747	-121.520091	North Delta tidal transition zone	Sacramento River	7/1/2020	3.26	19.91	22.98	140.23	7.64	8.03	93.73	2.81	1.33	14.58	2.06	16.74	23.02	134.57	0.07	0.41	0.67	1.05	0.00	2.13	19.10	25.34	49.49	0.07	23.17	1.71
A516	38.261742	-121.522703	North Delta tidal transition zone	Sacramento River	7/1/2020	3.63	20.11	22.98	140.64	7.64	8.01	93.42	2.78	1.16	14.99	1.99	16.70	23.03	134.96	0.07	0.38	0.67	1.03	0.00	2.07	18.36	32.23	49.68	0.05	23.74	1.70
A514	38.263728	-121.525436	North Delta tidal transition zone	Sacramento River	7/1/2020	3.78	20.21	22.97	140.90	7.64	8.00	93.25	2.80	1.11	15.20	1.96	16.78	23.02	135.18	0.07	0.36	0.67	1.01	0.00	2.03	17.81	32.34	49.84	0.01	23.99	1.69
A512	38.265792	-121.527989	North Delta tidal transition zone	Sacramento River	7/1/2020	3.81	20.11	22.95	141.04	7.64	8.00	93.24	2.84	1.12	15.29	1.99	16.92	23.01	135.31	0.07	0.34	0.68	1.00	0.00	2.01	17.08	31.43	48.73	0.01	23.91	1.69
A510	38.267818	-121.530631	North Delta tidal transition zone	Sacramento River	7/1/2020	3.77	19.76	22.93	141.21	7.64	8.00	93.25	2.87	1.14	15.32	2.03	16.98	22.99	135.46	0.07	0.35	0.69	0.98	0.00	2.01	17.18	28.73	41.05	0.00	23.53	1.67
A508	38.269736	-121.533375	North Delta tidal transition zone	Sacramento River	7/1/2020	3.77	19.40	22.92	141.30	7.64	8.02	93.34	2.88	1.14	15.27	2.07	16.98	22.98	135.55	0.07	0.40	0.70	0.97	0.00	2.07	19.00	27.51	39.82	0.14	23.18	1.66
A506	38.271746	-121.536038	North Delta tidal transition zone	Sacramento River	7/1/2020	3.78	19.10	22.91	141.22	7.64	8.06	93.83	2.91	1.19	15.05	2.16	16.99	22.97	135.46	0.07	0.44	0.70	0.98	0.01	2.13	20.60	28.43	42.29	0.38	22.84	1.65
A504	38.273748	-121.538684	North Delta tidal transition zone	Sacramento River	7/1/2020	3.82	19.40	22.86	140.82	7.65	8.15	94.80	2.96	1.30	14.56	2.27	17.20	22.91	135.06	0.07	0.41	0.72	1.02	0.01	2.17	18.96	33.01	46.79	0.31	23.08	1.63
A502	38.275722	-121.541364	North Delta tidal transition zone	Sacramento River	7/1/2020	3.91	20.11	22.80	140.77	7.65	8.17	94.85	2.91	1.35	14.44	2.27	17.38	22.84	134.90	0.07	0.34	0.73	1.04	0.00	2.11	15.90	34.09	49.56	0.14	23.90	1.62
A500	38.277889	-121.543835	North Delta tidal transition zone	Sacramento River	7/1/2020	3.98	20.73	22.74	140.94	7.65	8.14	94.46	2.86	1.33	14.45	2.19	17.55	22.77	134.89	0.07	0.26	0.73	1.01	0.00	2.00	12.68	36.33	50.84	0.01	24.66	1.61
A498	38.279998	-121.546354	North Delta tidal transition zone	Sacramento River	7/1/2020	4.00	20.91	22.68	141.17	7.64	8.10	93.92	2.92	1.21	14.53	2.07	17.71	22.70	134.89	0.07	0.19	0.75	0.92	0.00	1.85	9.99	40.63	49.79	0.00	24.93	1.59
A496	38.281949	-121.549053	North Delta tidal transition zone	Sacramento River	7/1/2020	3.99	20.66	22.66	141.19	7.64	8.09	93.73	3.03	1.14	14.64	2.01	17.71	22.68	134.83	0.07	0.18	0.76	0.88	0.00	1.80	9.98	41.97	48.64	0.00	24.64	1.58
A494	38.283660	-121.552048	North Delta tidal transition zone	Sacramento River	7/1/2020	3.95	20.48	22.65	141.20	7.64	8.08	93.64	3.07	1.13	14.80	2.02	17.70	22.67	134.80	0.07	0.18	0.76	0.87	0.00	1.79	9.73	42.51	48.46	0.00	24.44	1.57
A492	38.285650	-121.554724	North Delta tidal transition zone	Sacramento River	7/1/2020	3.94	20.12	22.64	141.14	7.64	8.09	93.69	3.11	1.14	14.67	2.03	17.63	22.65	134.71	0.07	0.18	0.76	0.87	0.00	1.80	9.71	42.33	48.52	0.00	24.06	1.55
A490	38.287821	-121.557111	North Delta tidal transition zone	Sacramento River	7/1/2020	3.97	19.85	22.65	141.06	7.64	8.10	93.76	3.07	1.13	14.22	2.00	17.53	22.66	134.70	0.07	0.19	0.74	0.90	0.00	1.83	10.35	40.54	49.33	0.00	23.82	1.54
A488	38.289978	-121.559573	North Delta tidal transition zone	Sacramento River	7/1/2020	4.01	19.67	22.65	141.07	7.65	8.07	93.52	3.03	1.10	14.43	1.98	17.47	22.66	134.67	0.07	0.18	0.74	0.91	0.00	1.82	9.94	40.35	49.78	0.00	23.65	1.53
A486	38.292152	-121.561995	North Delta tidal transition zone	Sacramento River	7/1/2020	4.05	19.50	22.65	141.09	7.65	8.04	93.15	2.96	1.08	14.90	1.96	17.46	22.67	134.64	0.07	0.16	0.73	0.89	0.00	1.79	9.01	40.82	49.68	0.00	23.50	1.52
A484	38.294388	-121.564320	North Delta tidal transition zone	Sacramento River	7/1/2020	4.08	19.28	22.66	141.13	7.65	8.01	92.77	2.96	1.06	15.24	1.93	17.42	22.67	134.61	0.07	0.14	0.73	0.83	0.00	1.72	8.14	34.72	48.48	0.00	23.34	1.50
A482	38.296716	-121.566530	North Delta tidal transition zone	Sacramento River	7/1/2020	4.12	19.28	22.67	141.16	7.65	8.02	92.92	3.01	1.06	15.15	1.93	17.44	22.68	134.65	0.07	0.14	0.73	0.82	0.00	1.70	8.25	21.83	48.23	0.00	23.40	1.49
A480	38.299132	-121.568566	North Delta tidal transition zone	Sacramento River	7/1/2020	4.14	19.29	22.68	141.20	7.66	8.05	93.28	3.07	1.06	14.97	1.94	17.39	22.68	134.74	0.07	0.14	0.74	0.81	0.00	1.69	8.48	14.12	47.82	0.00	23.44	1.48
A478	38.301548	-121.570616	North Delta tidal transition zone	Sacramento River	7/1/2020	4.16	19.30	22.69	141.23	7.66	8.10	93.82	3.14	1.06	14.79	1.94	17.38	22.68	134.82	0.07	0.13	0.74	0.80	0.00	1.69	7.74	20.06	47.33	0.27	23.47	1.48
A476	38.303963	-121.572425	North Delta tidal transition zone	Sacramento River	7/1/2020	4.23	19.70	22.68	141.40	7.66	8.11	93.97	3.19	1.05	14.77	1.91	17.36	22.68	134.89	0.07	0.13	0.73	0.81	0.01	1.70	6.42	37.65	47.48	0.54	23.94	1.49
A474	38.306199	-121.573766	North Delta tidal transition zone	Sacramento River	7/1/2020	4.29	20.09	22.68	141.54	7.66	8.08	93.67	3.18	1.05	14.83	1.89	17.38	22.68	134.94	0.07	0.14	0.73	0.82	0.01	1.71	7.81	38.08	47.47	0.60	24.39	1.51
A472	38.308675	-121.575430	North Delta tidal transition zone	Sacramento River	7/1/2020	4.40	20.68	22.69	141.80	7.66	8.05	93.26	3.03	1.04	14.75	1.86	17.38	22.69	135.15	0.07	0.16	0.73	0.83	0.00	1.72	8.28	37.51	48.06	0.15	25.07	1.52
A470	38.311304	-121.576977	North Delta tidal transition zone	Sacramento River	7/1/2020	4.53	21.28	22.69	142.13	7.65	8.04	93.13	2.93	1.04	14.55	1.83	17.44	22.69	135.43	0.07	0.17	0.72	0.82	0.00	1.70	8.34	36.56	48.25	0.00	25.81	1.53
A468	38.314102	-121.577869	North Delta tidal transition zone	Sacramento River	7/1/2020	4.75	22.28	22.65	142.76	7.64	8.05	93.29	3.03	1.08	14.54	1.84	17.71	22.65	135.96	0.07	0.13	0.74	0.78	0.00	1.64	8.56	40.49	47.44	0.01	27.03	1.59
A466	38.316993	-121.577914	North Delta tidal transition zone	Sacramento River	7/1/2020	4.88	23.09	22.64	143.25	7.64	8.05	93.23	3.05	1.08	14.71	1.83	17.83	22.64	136.39	0.08	0.12	0.74	0.78	0.00	1.63	8.09	43.71	47.71	0.01	27.98	1.61
A464	38.319872	-121.577621	North Delta tidal transition zone	Sacramento River	7/1/2020	5.12	25.40	22.66	144.44	7.64	8.02	92.92	2.98	1.04	15.09	1.78	18.00	22.65	137.45	0.08	0.13	0.73	0.77	0.00	1.63	8.22	37.97	48.62	0.01	30.52	1.67
A462	38.322728	-121.577007	North Delta tidal transition zone	Sacramento River	7/1/2020	5.25	26.53	22.67	145.05	7.64	8.02	92.86	2.93	1.04	15.16	1.75	18.09	22.67	138.01	0.08	0.15	0.72	0.77	0.00	1.64	8.94	31.99	43.70	0.02	31.78	1.70
A460	38.325535	-121.576147	North Delta tidal transition zone	Sacramento River	7/1/2020	5.34	27.71	22.67	145.78	7.63	8.02	92.94	2.93	1.04	15.20	1.75	18.31	22.66	138.68	0.08	0.15	0.71	0.78	0.00	1.64	9.26	30.08	47.22	0.06	33.04	1.76
A458	38.328313	-121.574468	North Delta tidal transition zone	Sacramento River	7/1/2020	5.42	28.93	22.65	146.59	7.62	8.01	92.79	2.95	1.06	15.36	1.76	18.70	22.65	139.52	0.08	0.15	0.72	0.78	0.00	1.64	9.06	32.67	42.66	0.06	34.35	1.83
A456	38.330744	-121.572484	North Delta tidal transition zone	Sacramento River	7/1/2020	5.47	30.48	22.63	147.38	7.61	7.97	92.28	3.01	1.02	15.91	1.77	19.04	22.63	140.17	0.08	0.12	0.72	0.77	0.00	1.61	7.22	39.97	48.68	0.20	35.92	1.89
A454	38.333043	-121.570235	North Delta tidal transition zone	Sacramento River	7/1/2020	5.49	32.78	22.62	148.44	7.60	7.92	91.67	3.09	0.98	16.56	1.75	19.45	22.61	141.00	0.08	0.09	0.72	0.76	0.00	1.57	5.46	44.81	48.26	0.26	38.22	1.96
A452	38.335197	-121.567764	North Delta tidal transition zone	Sacramento River	7/1/2020	5.45	36.90	22.61	150.25	7.58	7.87	91.07	3.16	0.96	17.25	1.73	20.09	22.61	142.60	0.08	0.03	0.73	0.74	0.01	1.51	2.21	46.34	48.34	0.45	42.32	2.07
A450	38.337414	-121.565447	North Delta tidal transition zone	Sacramento River	7/1/2020	5.40	39.55	22.60	151.39	7.57	7.84	90.80	3.11	0.97	17.59	1.71	20.46	22.60	143.66	0.08	0.01	0.73	0.70	0.02	1.47	0.73	48.14	47.37	1.15	44.93	2.15
A448	38.339577	-121.562974	North Delta tidal transition zone	Sacramento River	7/1/2020	5.34	41.54	22.61	152.34	7.56	7.83	90.59	3.03	0.97	17.85	1.68	20.75	22.60	144.61	0.08	0.00	0.73	0.67	0.02	1.44	0.23	49.15	46.42	1.44	46.88	2.22
A446	38.341916	-121.560735	North Delta tidal transition zone	Sacramento River	7/1/2020	5.22	43.37	22.61	153.55	7.55	7.80	90.33	3.04	0.94	18.22	1.66	21.20	22.60	145.92	0.08	0.00	0.73	0.66	0.01	1.42	0.31	46.60	46.70	0.75	48.59	2.33
A444	38.343750	-121.557999	North Delta tidal transition zone	Sacramento River	7/1/2020	5.10	44.08	22.61	154.51	7.54	7.79	90.15	3.12	0.94	18.52	1.65	21.57	22.62	147.06	0.08	0.00	0.73	0.67	0.01	1.43	0.00	44.30	47.13	0.88	49.18	2.43
A442	38.344576	-121.554507	North Delta tidal transition zone	Sacramento River	7/1/2020	5.06	44.13	22.62	154.74	7.54	7.78	90.13	3.11	0.95	18.58	1.65	21.65	22.62	147.38	0.08	0.00	0.73	0.68	0.02	1.44	0.00	45.11	47.54	1.07	49.20	2.46
